Experiment,MAE,RMSE,R2,Directional Accuracy,Sharpe,Strategy Return,Max Drawdown
Baseline AFT,0.04989490658044815,0.06254411794302271,-1.197526216506958,0.5214899713467048,-0.11648086853286867,-0.11910426616668701,-0.25000643730163574
No Adaptive Gating,0.06743872910737991,0.08738568482860123,-3.289846420288086,0.5157593123209169,-0.07743963485943255,-0.041975557804107666,-0.31788796186447144
No Market Regime Encoder,0.04453052580356598,0.05800838333709566,-0.8903518915176392,0.5415472779369628,0.4743230743896701,0.1743161678314209,-0.21727225184440613
No Financial Context,0.12240486592054367,0.16145453845968577,-13.644063949584961,0.504297994269341,-0.09253129546495908,-0.25788241624832153,-0.3958500623703003
Price Features Only,0.08885922282934189,0.09906862307677508,-4.513576030731201,0.4383954154727794,-0.7687248292847185,-0.30980247259140015,-0.4109228849411011
Technical Indicators Only,0.05632983520627022,0.06865118278075254,-1.6476292610168457,0.49570200573065903,-0.11747635770900337,-0.038859009742736816,-0.30311527848243713
Top 40 Features Only,0.05489950627088547,0.06635443685637299,-1.4734382629394531,0.5186246418338109,0.9325981470769801,0.30698513984680176,-0.21727250516414642
Seq Length = 20,0.05357438325881958,0.07151831058500387,-1.8071720600128174,0.5578406169665809,0.5285195140478192,0.23995590209960938,-0.22764791548252106
Seq Length = 40,0.0656517818570137,0.08239197041620985,-2.884826421737671,0.5311653116531165,0.32681620587474913,-0.08606576919555664,-0.3317941427230835
Seq Length = 80,0.04659378156065941,0.05975713708542998,-0.9492032527923584,0.541033434650456,0.19170097060576713,0.04289984703063965,-0.3178881108760834
Dropout = 0.0,0.07054915279150009,0.09125820850495073,-3.6784825325012207,0.498567335243553,0.03769448288456193,0.06157410144805908,-0.3440411388874054
Dropout = 0.1,0.061645857989788055,0.08182472957983941,-2.761233329772949,0.5644699140401146,0.5158732761341337,0.22832238674163818,-0.21727223694324493
Dropout = 0.3,0.047467514872550964,0.061657681537831396,-1.135676622390747,0.5616045845272206,0.3810717808852491,0.11643612384796143,-0.2172723114490509
Walk-Forward CV (Average),0.08367827410499255,0.0,-13.185125350952148,0.5,0.0,0.0,0.0
