Model,MAE,RMSE,R2
Linear Regression,0.1887415778195752,0.2487063598374782,-33.790931402341535
Random Forest,0.0330496315941803,0.0451353963796831,-0.1458474301465933
LSTM,0.0400355271995067,0.0522561063708957,-0.535912036895752
GRU,0.0344534888863563,0.0476135567844826,-0.2751272916793823
XGBoost,0.034422539817094,0.045011250930722,-0.1395527646517755
PyTorch Transformer,0.0322340317070484,0.043542892308663,-0.0664163827896118
Custom Transformer,0.0309623125940561,0.0431107334561185,-0.0453532934188842
Price Aware Transformer,0.2800359725952148,0.2841593810491799,-44.416770935058594
Adaptive Financial Transformer,0.131486028432846,0.1528511522903221,-12.141037940979004
Feature Guided Transformer,0.032612957060337,0.0442305816071844,-0.1003669500350952
Adaptive Guided Transformer 2,0.0248206537216901,0.0306373895519175,0.0395440459251403
De-biased Adaptive Transformer,0.7336497902870178,0.7539672431584484,-575.5194091796875
Multi-Objective AFT,0.02701173909008503,0.034757553795104465,-0.22520101070404053
Optimized AFT (Regression),0.0310287680476904,0.0424504354596138,-0.0321274995803833
Optimized AFT (Financial),0.0297882352024317,0.0420426838099957,0.0321978926658630
